name,source_url,fetched_at,n_tools,catalog_tokens,median_tool_tokens,largest_tool_tokens,pct_params_described,any_enum_constraint,longest_description_chars,count_method
ai.borealhost/mcp,https://borealhost.ai/mcp/,2026-08-10T02:29:34+00:00,144,26711,158,998,0.0,False,2594,tiktoken:o200k_base
ai.bowmark/bowmark,https://api.bowmark.ai/mcp,2026-08-10T02:29:35+00:00,2,2279,1139,1485,100.0,False,4824,tiktoken:o200k_base
ai.bringyour/bringyour,https://bringyour.ai/mcp,2026-08-10T02:30:07+00:00,7,752,97,202,100.0,False,317,tiktoken:o200k_base
ai.buywhere/catalog-api,https://mcp.buywhere.ai/mcp,2026-08-10T02:30:11+00:00,8,1948,216,563,100.0,True,409,tiktoken:o200k_base
ai.byteask/embedded-docs,https://mcp.byteask.ai/mcp,2026-08-10T02:30:13+00:00,3,1175,208,815,0.0,False,2508,tiktoken:o200k_base
ai.cabrini/market-data,https://cabrini.ai/mcp,2026-08-10T02:30:14+00:00,15,4010,298,442,100.0,False,281,tiktoken:o200k_base
ai.canaryusers/canaryusers,https://www.canaryusers.ai/api/mcp,2026-08-10T02:30:18+00:00,3,459,82,299,100.0,True,915,tiktoken:o200k_base
ai.canivibe/status,https://canivibe.ai/mcp,2026-08-10T02:30:19+00:00,2,240,120,132,100.0,False,286,tiktoken:o200k_base
ai.ccapi/mcp,https://api.ccapi.ai/mcp,2026-08-10T02:30:21+00:00,11,5495,435,730,100.0,False,405,tiktoken:o200k_base
ai.certscore/mcp-light,https://mcp.certscore.ai/mcp/light,2026-08-10T02:30:23+00:00,3,6198,1089,4032,100.0,True,488,tiktoken:o200k_base
ai.childadhd/library,https://childadhd.ai/api/mcp/v1,2026-08-10T02:30:25+00:00,6,629,102,135,100.0,True,139,tiktoken:o200k_base
ai.childanxiety/library,https://childanxiety.ai/api/mcp/v1,2026-08-10T02:30:25+00:00,6,629,102,135,100.0,True,139,tiktoken:o200k_base
ai.childpsychiatry/library,https://childpsychiatry.ai/api/mcp/v1,2026-08-10T02:30:26+00:00,6,629,102,135,100.0,True,141,tiktoken:o200k_base
ai.chinamarketing/intelligence,https://api.chinamarketing.ai/mcp,2026-08-10T02:30:27+00:00,3,369,123,129,100.0,False,129,tiktoken:o200k_base
ai.chronary/mcp,https://api.chronary.ai/mcp,2026-08-10T02:30:28+00:00,54,15357,143,1260,100.0,True,482,tiktoken:o200k_base
ai.clawfetch/mcp,https://mcp.clawfetch.ai/mcp,2026-08-10T02:30:31+00:00,10,1323,138,220,100.0,False,315,tiktoken:o200k_base
ai.compeller/compel,https://compeller.ai/api/mcp,2026-08-10T02:30:40+00:00,30,4067,104,401,91.7,True,558,tiktoken:o200k_base
ai.corduroy-labs/updates,https://corduroy-labs.ai/mcp,2026-08-10T02:30:45+00:00,2,287,142,158,0.0,False,320,tiktoken:o200k_base
ai.creationloop/creationloop,https://creationloop.ai/api/mcp,2026-08-10T02:30:47+00:00,4,322,60,160,100.0,False,205,tiktoken:o200k_base
ai.creativescope/creative-intelligence,https://mcp.creativescope.ai/mcp,2026-08-10T02:30:49+00:00,12,3125,281,486,100.0,False,759,tiktoken:o200k_base
ai.dablock/visibility-index,https://dablock.ai/mcp,2026-08-10T02:30:53+00:00,5,2367,461,622,100.0,False,1089,tiktoken:o200k_base
ai.dabyte/visibility-index,https://dabyte.ai/mcp,2026-08-10T02:30:54+00:00,5,2375,461,624,100.0,False,1087,tiktoken:o200k_base
ai.dataecho/mcp,https://dataecho.ai/mcp,2026-08-10T02:30:55+00:00,26,2391,75,403,100.0,False,418,tiktoken:o200k_base
ai.datamerge/mcp,https://mcp.datamerge.ai,2026-08-10T02:30:58+00:00,23,5308,184,541,91.0,True,607,tiktoken:o200k_base
ai.demanddiscovery/mcp,https://mcp.demanddiscovery.ai/api/mcp,2026-08-10T02:31:04+00:00,10,9213,660,2502,100.0,False,4580,tiktoken:o200k_base
ai.deskcrew/agentic,https://deskcrew.ai/api/mcp,2026-08-10T02:31:06+00:00,4,506,119,195,4.8,False,332,tiktoken:o200k_base
ai.dreamlit/mcp,https://mcp.dreamlit.ai/mcp,2026-08-10T02:31:53+00:00,11,42863,3680,5640,100.0,True,690,tiktoken:o200k_base
ai.drillr/drillr,https://gateway.drillr.ai/mcp/data,2026-08-10T02:31:54+00:00,9,4087,394,674,88.9,True,1758,tiktoken:o200k_base
ai.dripmetrics/mcp,https://mcp.dripmetrics.ai/mcp,2026-08-10T02:31:54+00:00,6,1342,213,359,100.0,True,345,tiktoken:o200k_base
ai.duvera/gateway,https://app.duvera.ai/mcp,2026-08-10T02:31:58+00:00,52,4766,88,194,100.0,False,255,tiktoken:o200k_base
ai.dynamicfeed/dynamic-feed,https://dynamicfeed.ai/mcp,2026-08-10T02:31:59+00:00,94,27092,262,658,0.0,False,2163,tiktoken:o200k_base
ai.echoloc/company-technographics,https://api.echoloc.ai/mcp,2026-08-10T02:32:00+00:00,3,449,129,209,25.0,True,253,tiktoken:o200k_base
